OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
888792,f9d6569e,1/10/2015 13:00,Saturday,Jan,10,2015,13,1,10,2015,GRAND LARCENY,FELONY,B,1,MANHATTAN,N.Y. TRANSIT POLICE,981604,198068,"(40.710335478, -74.0095456)"
888793,2f22a13d,1/10/2015 13:00,Saturday,Jan,10,2015,13,1,18,2015,GRAND LARCENY,FELONY,C,94,BROOKLYN,N.Y. POLICE DEPT,997177,206129,"(40.7324519330001, -73.953358126)"
888797,ac953d31,1/10/2015 13:48,Saturday,Jan,10,2015,13,1,10,2015,FELONY ASSAULT,FELONY,B,103,QUEENS,N.Y. POLICE DEPT,1040384,195692,"(40.703636272, -73.797545606)"
888798,93790abb,1/10/2015 14:00,Saturday,Jan,10,2015,14,1,10,2015,ROBBERY,FELONY,A,60,BROOKLYN,N.Y. POLICE DEPT,995377,151302,"(40.581966322, -73.959943359)"
888799,f8040675,1/10/2015 14:00,Saturday,Jan,10,2015,14,1,19,2015,GRAND LARCENY,FELONY,C,66,BROOKLYN,N.Y. POLICE DEPT,992573,165811,"(40.62179366, -73.970020104)"
888801,f7af73f4,1/10/2015 14:00,Saturday,Jan,10,2015,14,1,11,2015,GRAND LARCENY,FELONY,C,14,MANHATTAN,N.Y. POLICE DEPT,988083,212199,"(40.749121191, -73.9861677229999)"
888804,77fa7629,1/10/2015 14:40,Saturday,Jan,10,2015,14,1,14,2015,BURGLARY,FELONY,A,71,BROOKLYN,N.Y. POLICE DEPT,996526,182939,"(40.6688017330001, -73.955749337)"
888806,bdf64244,1/10/2015 15:00,Saturday,Jan,10,2015,15,1,11,2015,BURGLARY,FELONY,C,123,STATEN ISLAND,N.Y. POLICE DEPT,926125,128735,"(40.5198407880001, -74.209061751)"
888807,d3d0997d,1/10/2015 15:00,Saturday,Jan,10,2015,15,5,26,2015,GRAND LARCENY,FELONY,B,100,QUEENS,N.Y. POLICE DEPT,1032980,151872,"(40.583403909, -73.8245656999999)"
888808,f44451eb,1/10/2015 15:00,Saturday,Jan,10,2015,15,2,5,2015,GRAND LARCENY,FELONY,C,68,BROOKLYN,N.Y. POLICE DEPT,980945,169981,"(40.633242727, -74.0119088449999)"
